
OWNER                         ,CONSTRAINT_NAME               ,C,TABLE_NAME                    ,SEARCH_CONDITION                                                                ,R_OWNER                       ,R_CONSTRAINT_NAME             ,DELETE_RU,STATUS  ,DEFERRABLE    ,DEFERRED ,VALIDATED    ,GENERATED     ,BAD,RELY,LAST_CHAN,INDEX_OWNER                   ,INDEX_NAME                    ,INVALID,VIEW_RELATED
------------------------------,------------------------------,-,------------------------------,--------------------------------------------------------------------------------,------------------------------,------------------------------,---------,--------,--------------,---------,-------------,--------------,---,----,---------,------------------------------,------------------------------,-------,--------------
TEST                          ,SYS_C001402287                ,C,CODENTIDADES                  ,"BANCO" IS NOT NULL                                                             ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402288                ,C,CODENTIDADES                  ,"CODIGO" IS NOT NULL                                                            ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,CODBANCOSPK                   ,P,CODENTIDADES                  ,                                                                                ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,USER NAME     ,   ,    ,19-FEB-16,TEST                          ,CODBANCOSPK                   ,       ,
TEST                          ,SYS_C001402275                ,C,CODPOSTAL                     ,"CALLE" IS NOT NULL                                                             ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402276                ,C,CODPOSTAL                     ,"CIUDAD" IS NOT NULL                                                            ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402277                ,C,CODPOSTAL                     ,"CODPOSTAL" IS NOT NULL                                                         ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,CODPOSTALPK                   ,P,CODPOSTAL                     ,                                                                                ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,USER NAME     ,   ,    ,19-FEB-16,TEST                          ,CODPOSTALPK                   ,       ,
TEST                          ,SYS_C001402290                ,C,CUENTA                        ,"CCC" IS NOT NULL                                                               ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402291                ,C,CUENTA                        ,"FECHACREACION" IS NOT NULL                                                     ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402292                ,C,CUENTA                        ,"SALDO" IS NOT NULL                                                             ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402293                ,C,CUENTA                        ,"TITULAR" IS NOT NULL                                                           ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,CUENTAPK                      ,P,CUENTA                        ,                                                                                ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,USER NAME     ,   ,    ,19-FEB-16,TEST                          ,CUENTAPK                      ,       ,
TEST                          ,CUENTATITULARFK               ,R,CUENTA                        ,                                                                                ,TEST                          ,TITULARPK                     ,NO ACTION,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,USER NAME     ,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402296                ,C,CUENTAAHORRO                  ,"TIPOINTERES" IS NOT NULL                                                       ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402297                ,P,CUENTAAHORRO                  ,                                                                                ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,TEST                          ,SYS_C001402297                ,       ,
TEST                          ,CUENTAAHORROFK                ,R,CUENTAAHORRO                  ,                                                                                ,TEST                          ,CUENTAPK                      ,NO ACTION,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,USER NAME     ,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402302                ,C,CUENTACORRIENTE               ,"SUCURSAL_CODOFICINA" IS NOT NULL                                               ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402303                ,P,CUENTACORRIENTE               ,                                                                                ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,TEST                          ,SYS_C001402303                ,       ,
TEST                          ,CUENTACORRIENTEPKFK           ,R,CUENTACORRIENTE               ,                                                                                ,TEST                          ,CUENTAPK                      ,NO ACTION,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,USER NAME     ,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,CUENTACORRIENTEOFICINAFK      ,R,CUENTACORRIENTE               ,                                                                                ,TEST                          ,SYS_C001402301                ,NO ACTION,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,USER NAME     ,   ,    ,19-FEB-16,                              ,                              ,       ,
TEST                          ,SYS_C001402270                ,C,DIRECCION                     ,"CALLE" IS NOT NULL                                                             ,                              ,                              ,         ,ENABLED ,NOT DEFERRABLE,IMMEDIATE,VALIDATED    ,GENERATED NAME,   ,    ,19-FEB-16,                              ,                              ,       ,
